,link,title
12,https://www.nbcnewyork.com/entertainment/holidays/what-to-know-ahead-of-2021-rockefeller-center-christmas-tree-lighting/3424786/,How to Watch Tonight's Rockefeller Center Tree Lighting and More FAQs
13,https://www.nbcnewyork.com/news/coronavirus/nyc-schools-chancellor-meisha-porter-announces-plans-to-step-down/3427208/,NYC Schools Chancellor Meisha Porter Announces Plans to Step Down
14,https://www.nbcnewyork.com/news/national-international/young-south-florida-woman-goes-missing-during-roadtrip-with-boyfriend/3427739/,"Fla. Woman Went Missing During Road Trip With Boyfriend, Family Says"
15,https://www.nbcnewyork.com/news/local/six-hurt-following-fiery-explosion-at-brooklyn-residence-fdny/3427238/,"Basement Explosion Shakes Brooklyn Block, Leaving Six Hurt and Dozens Displaced"
16,https://www.nbcnewyork.com/news/local/supervised-drug-consumption-sites-to-open-in-nyc-in-hopes-of-preventing-overdoses/3425273/,Supervised Drug Injection Sites to Open in NYC in Hopes of Preventing Overdoses
17,https://www.nbcnewyork.com/news/politics/appeals-court-orders-release-of-some-mueller-report-passages/3427879/,Appeals Court Orders Release of Some Mueller Report Passages
18,https://www.nbcnewyork.com/news/politics/conservatives-eagerly-await-supreme-court-abortion-arguments/3427111/,Conservatives Eagerly Await Supreme Court Abortion Arguments
19,https://www.nbcnewyork.com/news/national-international/rep-omar-urges-house-gop-to-address-anti-muslim-hatred/3426955/,Rep. Omar Urges House GOP to Address ‘Anti-Muslim Hatred'
20,https://www.nbcnewyork.com/news/national-international/biden-tries-to-reassure-on-covid-as-he-sells-spending-plan/3426769/,Biden Tries to Reassure on COVID as He Sells Spending Plan
21,https://www.nbcnewyork.com/news/local/cnn-suspends-chris-cuomo-indefinitely-after-transcripts-showed-his-role-advising-brother/3426695/,CNN Suspends Chris Cuomo ‘Indefinitely' After Transcripts Showed Role Advising Brother
22,https://www.nbcnewyork.com/news/ny-ag-releases-video-of-ex-gov-cuomos-testimony/3424344/,NY AG Releases Video of Ex-Gov. Cuomo's Testimony
23,https://www.nbcnewyork.com/news/counseling-police-officers-and-saving-lives/3417670/,Counseling Police Officers and Saving Lives
